x,y,z_srtm
515492.23,9265974.37,0.00
515658.27,9265866.24,0.00
515824.88,9265759.15,0.00
515987.62,9265655.11,0.00
516160.94,9265544.88,0.00
516331.49,9265439.25,0.00
516504.09,9265334.63,0.00
516678.84,9265230.38,0.00
516853.90,9265124.76,0.00
517028.69,9265017.56,0.00
517202.31,9264908.78,0.00
517375.64,9264800.27,0.00
517550.11,9264692.05,0.00
517725.32,9264585.03,0.00
517901.20,9264477.19,0.00
518077.09,9264369.11,0.00
518251.41,9264260.76,0.00
518424.05,9264152.52,0.00
518595.34,9264043.45,0.00
518765.81,9263934.16,0.00
518935.54,9263824.70,0.00
512620.39,9268321.16,0.00
512790.90,9268212.41,0.00
512958.78,9268101.66,0.00
513128.55,9267989.60,0.00
513297.68,9267878.89,0.00
513466.60,9267770.22,0.00
513636.20,9267663.27,0.00
513806.42,9267558.57,0.00
513975.32,9267454.02,0.00
514142.51,9267348.01,0.00
514310.62,9267244.21,0.00
514478.27,9267143.87,0.00
514642.93,9267041.73,0.00
514807.66,9266940.53,0.00
514972.11,9266838.74,0.00
515134.27,9266738.02,0.00
515298.43,9266635.71,0.00
515469.20,9266529.70,0.00
515631.49,9266429.34,0.00
515797.81,9266324.19,0.00
515965.68,9266216.27,0.00
516135.61,9266110.11,0.00
516304.18,9266005.54,0.00
516471.07,9265901.02,0.00
516639.22,9265798.71,0.00
516806.43,9265695.30,0.00
516972.82,9265589.29,0.00
517139.34,9265482.19,0.00
517306.55,9265375.31,0.00
517473.50,9265269.57,0.00
517641.15,9265165.01,0.00
517809.05,9265058.54,0.00
517978.31,9264952.80,0.00
518148.22,9264848.48,0.00
518316.49,9264741.81,0.00
518485.68,9264634.13,0.00
518650.70,9264528.48,0.00
518819.50,9264421.76,0.00
518985.21,9264319.23,0.00
519153.66,9264215.97,0.00
519323.51,9264109.92,0.00
519489.80,9264004.20,0.00
519665.24,9263890.46,0.00
520500.68,9263359.52,0.00
520667.82,9263253.52,0.00
520835.65,9263150.51,0.00
512230.86,9269112.23,0.00
512394.04,9269011.01,0.00
512558.02,9268907.87,0.00
512724.55,9268804.41,0.00
512894.45,9268699.71,0.00
513063.93,9268592.76,0.00
513231.89,9268487.57,0.00
513404.25,9268382.64,0.00
513575.93,9268278.25,0.00
513746.27,9268171.95,0.00
513916.88,9268066.59,0.00
514086.35,9267962.17,0.00
514256.42,9267859.11,0.00
514426.68,9267754.97,0.00
514595.63,9267649.22,0.00
514763.10,9267541.93,0.00
514930.45,9267433.50,0.00
515096.50,9267324.82,0.00
515262.54,9267217.34,0.00
515429.66,9267110.02,0.00
515596.84,9267002.68,0.00
515764.85,9266898.17,0.00
515933.75,9266795.20,0.00
516102.26,9266689.89,0.00
516272.06,9266586.35,0.00
516440.36,9266481.28,0.00
516606.50,9266374.39,0.00
516773.03,9266269.70,0.00
516940.99,9266165.92,0.00
517110.56,9266061.23,0.00
517279.15,9265956.22,0.00
517445.58,9265850.84,0.00
517612.76,9265747.64,0.00
517780.80,9265645.82,0.00
517949.15,9265543.70,0.00
518116.57,9265439.75,0.00
518283.54,9265334.29,0.00
518449.67,9265227.71,0.00
518616.80,9265122.60,0.00
518785.39,9265016.47,0.00
518952.58,9264910.35,0.00
519117.59,9264807.37,0.00
519279.30,9264706.36,0.00
519439.52,9264605.44,0.00
519600.21,9264504.56,0.00
519761.53,9264403.86,0.00
519918.11,9264304.98,0.00
520084.59,9264201.38,0.00
520249.82,9264102.61,0.00
520415.34,9264001.38,0.00
520579.67,9263896.61,0.00
520744.55,9263792.19,0.00
520909.93,9263689.42,0.00
521077.39,9263585.55,0.00
521245.19,9263482.24,0.00
521413.11,9263378.97,0.00
521579.26,9263271.08,0.00
521744.58,9263162.08,0.00
521912.58,9263055.43,0.00
522080.41,9262947.89,0.00
522247.68,9262841.20,0.00
522416.47,9262737.61,0.00
522584.75,9262637.84,0.00
522750.80,9262537.49,0.00
522914.73,9262432.41,0.00
523076.61,9262327.90,0.00
523243.07,9262217.99,0.00
523408.32,9262111.06,0.00
523576.28,9262007.28,0.00
523742.55,9261903.78,0.00
523907.90,9261800.73,0.00
524072.85,9261695.52,0.00
524237.90,9261591.70,0.00
524406.00,9261484.77,0.00
524573.82,9261380.00,0.00
524741.49,9261276.57,0.00
524909.00,9261174.91,0.00
525076.25,9261074.28,0.00
525242.59,9260974.61,0.00
511547.66,9270044.17,0.00
511703.85,9269947.78,0.00
511860.58,9269851.11,0.00
512020.93,9269757.87,0.00
512178.60,9269665.89,0.00
512333.43,9269572.42,0.00
512486.24,9269477.49,0.00
512638.19,9269381.79,0.00
512791.06,9269287.43,0.00
512943.94,9269191.63,0.00
513096.35,9269092.99,0.00
513248.94,9268993.16,0.00
513400.89,9268891.91,0.00
513551.12,9268789.27,0.00
513700.59,9268685.96,0.00
513848.78,9268581.49,0.00
513998.75,9268477.42,0.00
514148.95,9268373.62,0.00
514299.90,9268271.52,0.00
514450.56,9268169.66,0.00
514600.39,9268067.01,0.00
514754.07,9267970.52,0.00
514910.03,9267878.42,0.00
515068.35,9267790.77,0.00
515228.43,9267706.37,0.00
515388.77,9267622.89,0.00
515549.37,9267538.90,0.00
515709.23,9267454.37,0.00
515866.41,9267365.67,0.00
516022.69,9267275.11,0.00
516177.10,9267181.07,0.00
516330.64,9267086.54,0.00
516483.11,9266991.80,0.00
516634.27,9266895.76,0.00
516785.68,9266800.88,0.00
516937.11,9266705.28,0.00
517088.57,9266607.88,0.00
517239.93,9266509.83,0.00
517392.59,9266412.63,0.00
517546.37,9266315.10,0.00
517701.72,9266216.93,0.00
517858.68,9266119.26,0.00
518015.31,9266021.62,0.00
518171.32,9265926.15,0.00
518326.73,9265831.54,0.00
518479.62,9265736.28,0.00
518631.99,9265640.65,0.00
518783.83,9265543.32,0.00
518935.57,9265444.35,0.00
519087.47,9265345.53,0.00
519241.12,9265248.07,0.00
519395.36,9265151.24,0.00
519548.50,9265054.09,0.00
519703.39,9264958.62,0.00
519858.25,9264861.74,0.00
520012.62,9264763.09,0.00
520169.38,9264667.20,0.00
520325.80,9264571.82,0.00
520479.47,9264475.05,0.00
520632.32,9264376.57,0.00
520788.02,9264279.74,0.00
520947.11,9264182.78,0.00
521108.60,9264083.79,0.00
521270.79,9263982.17,0.00
521434.88,9263880.11,0.00
521600.69,9263777.82,0.00
521766.69,9263676.18,0.00
521931.13,9263575.75,0.00
522094.30,9263476.55,0.00
522255.42,9263375.48,0.00
522414.23,9263272.54,0.00
522569.72,9263169.22,0.00
522725.13,9263068.97,0.00
522879.66,9262970.64,0.00
523032.68,9262873.48,0.00
523185.79,9262779.43,0.00
523338.60,9262689.13,0.00
523491.42,9262598.28,0.00
523645.17,9262503.48,0.00
523801.43,9262407.59,0.00
523959.18,9262309.46,0.00
524118.14,9262211.06,0.00
524276.92,9262112.89,0.00
524436.41,9262014.47,0.00
524596.84,9261917.84,0.00
524757.67,9261820.09,0.00
524918.43,9261720.08,0.00
525079.91,9261619.59,0.00
525240.66,9261516.26,0.00
525400.10,9261409.26,0.00
525558.44,9261300.26,0.00
525717.03,9261189.90,0.00
525877.68,9261082.08,0.00
526040.75,9260977.72,0.00
526208.98,9260882.60,0.00
526379.17,9260792.84,0.00
526544.85,9260696.84,0.00
526708.02,9260594.99,0.00
454137.57,9250689.81,0.02
454872.00,9256744.62,0.02
460042.71,9256998.21,0.02
454514.66,9250570.13,0.04
460584.25,9251492.26,0.05
461233.91,9253230.27,0.06
462824.83,9256096.57,0.08
456659.86,9253248.97,0.10
453950.35,9250751.95,0.12
460691.33,9254861.12,0.16
460139.23,9254555.58,0.17
513289.11,9267343.06,0.18
459355.90,9255764.26,0.20
462156.78,9248086.42,0.22
465202.09,9255334.76,0.22
453858.90,9251754.51,0.23
456174.95,9251468.69,0.24
460785.00,9257241.34,0.24
463734.93,9258232.12,0.24
458494.93,9252169.57,0.26
460757.52,9257750.71,0.27
461145.31,9257124.84,0.28
460884.16,9258178.91,0.28
455233.44,9253226.61,0.29
463811.49,9252378.89,0.29
461569.94,9256032.63,0.29
465013.37,9250542.65,0.30
511981.33,9254678.88,0.31
457349.45,9249648.26,0.33
456190.60,9251958.14,0.33
515423.43,9264927.47,0.33
461323.19,9257066.29,0.34
459957.68,9258485.46,0.35
497257.88,9243671.25,0.37
453465.56,9251385.31,0.37
463382.82,9256412.77,0.37
463964.06,9250888.82,0.38
460065.98,9255532.20,0.39
461928.43,9256392.28,0.39
459463.86,9256235.22,0.41
463190.66,9255979.28,0.42
462555.44,9251340.68,0.43
459011.46,9250072.66,0.45
460535.71,9256836.07,0.47
515498.50,9255722.79,0.48
460162.68,9248724.55,0.49
465831.24,9254652.20,0.49
494098.52,9243924.47,0.50
494600.59,9244763.72,0.51
461241.58,9254677.99,0.51
462034.65,9253923.30,0.52
461058.64,9254737.18,0.53
455616.14,9250687.73,0.55
459952.61,9249772.35,0.56
451433.71,9256407.04,0.56
453081.66,9251989.45,0.58
461604.92,9254560.49,0.58
464761.70,9254010.13,0.58
467016.81,9253775.76,0.58
459864.82,9251241.03,0.59
516366.61,9264329.19,0.59
467195.14,9247885.09,0.60
454893.56,9250446.60,0.63
457791.24,9249974.44,0.63
465021.25,9255388.44,0.63
461096.49,9255207.28,0.64
464540.31,9252637.77,0.65
461843.04,9253983.61,0.65
462465.06,9256216.46,0.66
461270.93,9255151.43,0.67
457770.60,9253390.25,0.68
462736.21,9251283.25,0.70
461055.51,9252794.91,0.70
453764.25,9250813.26,0.71
457738.47,9252418.05,0.71
461040.97,9253295.60,0.71
461207.19,9253724.59,0.71
463007.44,9256037.86,0.71
453631.76,9251335.03,0.72
461673.74,9252102.08,0.72
459213.09,9258723.63,0.72
464874.09,9252523.10,0.74
461670.57,9258412.37,0.74
464658.80,9253572.21,0.75
463365.61,9251566.83,0.76
456121.07,9250518.07,0.77
458682.68,9254535.90,0.77
461310.48,9257562.84,0.77
514944.27,9265221.09,0.77
454279.11,9251117.51,0.78
460142.07,9258424.76,0.78
458399.65,9259471.14,0.78
463519.85,9258783.82,0.79
465075.08,9248103.62,0.81
464306.24,9253689.95,0.81
459534.11,9255706.28,0.81
